feature,train_mean,test_mean,train_median,test_median,train_p95,test_p95,standardized_mean_difference,ks_statistic,ks_pvalue
char_count,2073.4527478171544,2055.101097631427,1925.0,1912.0,3722.25,3684.5,0.020190114589912246,0.022339505562928852,0.41239361573477273
word_count,367.58943246019516,364.07510109763143,344.0,339.0,651.0,638.5,0.023647392932565087,0.025873917033626737,0.24366350601757236
sentence_count,19.86498459167951,19.789716926632003,19.0,18.0,35.0,36.0,0.008426743004810427,0.02712289448549471,0.1982456340868528
paragraph_count,4.969247560349255,4.929520508376661,5.0,5.0,9.0,9.0,0.012202111610462451,0.007871172732524467,0.9999688444345864
avg_word_length,4.427266980904397,4.432644303139468,4.426933438465076,4.431192660550459,4.909610069594752,4.903446573177957,-0.018256412932077516,0.014544551053525034,0.891709618527123
avg_sentence_words,20.456625777786257,20.194668152643214,18.46153846153846,18.464285714285715,32.0,32.33181818181818,0.02021777219713896,0.009681939685905194,0.9983355874559696
unique_word_ratio,0.47568162947792386,0.47616582351518755,0.4720583642735695,0.4723618090452261,0.6041028911564625,0.6063396788191695,-0.006460721802995126,0.023735912424482808,0.33854295095617293
long_word_ratio,0.18439733877409595,0.1864843767644967,0.18238993710691823,0.1845841784989858,0.2699645362532681,0.2719280240831965,-0.04109638467931175,0.02362375480564244,0.3441323601353502
punctuation_per_1k_chars,20.357824160676888,20.531304327219104,20.0,20.168855534709195,31.668988944244298,32.31370291014518,-0.02561712733675537,0.02145526290725014,0.46370906804631074
uppercase_ratio,0.023597919744654357,0.023706928490617275,0.021265500825872266,0.02132998745294856,0.04316152052754285,0.042402943605917245,-0.004498481177527514,0.02173432174460277,0.44715911384460816
digit_ratio,0.00277010292156214,0.0027877088460836956,0.001535862422959197,0.0015011258443832875,0.010152496617451559,0.010230191318834465,-0.004690084487972699,0.010566182341583963,0.9943204376304209
connector_per_1k_words,7.439126071747868,7.6461057725510875,6.211180124223603,6.622516556291391,19.076169478128836,19.57590853931149,-0.03320341432603227,0.0333549859847484,0.061041079319405056
